variable1,variable2,correlation_value
percent_uninsured,percent_hispanic,0.55269052
percentile_rank_mobile_homes,percentile_rank_below_poverty,0.55257597
percentile_rank_below_poverty,percentile_rank_mobile_homes,0.55257597
percentile_rank_housing_and_transportation,percent_severe_housing_problems,0.552536045
percent_severe_housing_problems,percentile_rank_housing_and_transportation,0.552536045
percentile_rank_limited_english_abilities,percentile_rank_minorities,0.552442185
percentile_rank_minorities,percentile_rank_limited_english_abilities,0.552442185
percentile_rank_multi_unit_housing,percent_some_college,0.552280969
percent_some_college,percentile_rank_multi_unit_housing,0.552280969
percentile_rank_no_vehicle,percent_frequent_physical_distress,0.551625754
percent_frequent_physical_distress,percentile_rank_no_vehicle,0.551625754
percentile_rank_per_capita_income,percent_physically_inactive,0.551240887
percent_physically_inactive,percentile_rank_per_capita_income,0.551240887
percent_minorities,percent_fair_or_poor_health,0.549244738
percent_fair_or_poor_health,percent_minorities,0.549244738
percentile_rank_no_highschool_diploma,percent_insufficient_sleep,0.548945476
percent_insufficient_sleep,percentile_rank_no_highschool_diploma,0.548945476
percentile_rank_social_vulnerability,percent_smokers,0.548759896
percent_smokers,percentile_rank_social_vulnerability,0.548759896
percentile_rank_household_comp_disability_theme,percent_frequent_mental_distress,0.548363289
percent_frequent_mental_distress,percentile_rank_household_comp_disability_theme,0.548363289
life_expectancy,percent_excessive_drinking,0.547189919
percent_excessive_drinking,life_expectancy,0.547189919
percent_multi_unit_housing,total_population,0.54695615
total_population,percent_multi_unit_housing,0.54695615
percent_disabled,percent_fair_or_poor_health,0.54643004
percent_fair_or_poor_health,percent_disabled,0.54643004
percent_frequent_mental_distress,income_ratio,0.545987908
income_ratio,percent_frequent_mental_distress,0.545987908
percent_unemployed_CDC,percent_smokers,0.545969336
percent_smokers,percent_unemployed_CDC,0.545969336
percentile_rank_single_parent_households,percent_minorities,0.545726142
percent_minorities,percentile_rank_single_parent_households,0.545726142
percentile_rank_no_highschool_diploma,percent_uninsured,0.545503174
percent_uninsured,percentile_rank_no_highschool_diploma,0.545503174
percentile_rank_below_poverty,percent_mobile_homes,0.545068295
percent_mobile_homes,percentile_rank_below_poverty,0.545068295
percent_no_vehicle,income_ratio,0.543331164
income_ratio,percent_no_vehicle,0.543331164
percentile_rank_minority_status_and_language_theme,percent_uninsured,0.542768949
percent_uninsured,percentile_rank_minority_status_and_language_theme,0.542768949
percent_physically_inactive,percent_smokers,0.54273421
percent_smokers,percent_physically_inactive,0.54273421
percentile_rank_minorities,percent_single_parent_households_CDC,0.542631204
percent_single_parent_households_CDC,percentile_rank_minorities,0.542631204
percent_rural,percent_homeowners,0.541990973
percent_homeowners,percent_rural,0.541990973
percentile_rank_housing_and_transportation,percent_food_insecure,0.540919391
percent_food_insecure,percentile_rank_housing_and_transportation,0.540919391
percentile_rank_household_comp_disability_theme,percentile_rank_no_highschool_diploma,0.540633711
percentile_rank_no_highschool_diploma,percentile_rank_household_comp_disability_theme,0.540633711
percent_minorities,percent_enrolled_in_free_or_reduced_lunch,0.540499927
percent_enrolled_in_free_or_reduced_lunch,percent_minorities,0.540499927
percentile_rank_household_comp_disability_theme,percent_enrolled_in_free_or_reduced_lunch,0.539218033
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_household_comp_disability_theme,0.539218033
percent_multi_unit_housing,population_density_per_sqmi,0.538618884
population_density_per_sqmi,percent_multi_unit_housing,0.538618884
percent_frequent_mental_distress,percent_physically_inactive,0.538024689
percent_physically_inactive,percent_frequent_mental_distress,0.538024689
percentile_rank_no_vehicle,percent_smokers,0.537321247
percent_smokers,percentile_rank_no_vehicle,0.537321247
percentile_rank_disabled,percent_physically_inactive,0.536839727
percent_physically_inactive,percentile_rank_disabled,0.536839727
percentile_rank_no_vehicle,income_ratio,0.53590623
income_ratio,percentile_rank_no_vehicle,0.53590623
median_household_income,percent_excessive_drinking,0.535844077
percent_excessive_drinking,median_household_income,0.535844077
percentile_rank_disabled,percent_fair_or_poor_health,0.53491544
percent_fair_or_poor_health,percentile_rank_disabled,0.53491544
percentile_rank_no_highschool_diploma,percent_physically_inactive,0.534885424
percent_physically_inactive,percentile_rank_no_highschool_diploma,0.534885424
percent_mobile_homes,percent_enrolled_in_free_or_reduced_lunch,0.534624207
percent_enrolled_in_free_or_reduced_lunch,percent_mobile_homes,0.534624207
percent_mobile_homes,percent_frequent_mental_distress,0.534566175
percent_frequent_mental_distress,percent_mobile_homes,0.534566175
percentile_rank_household_comp_disability_theme,percent_below_poverty,0.534313372
percent_below_poverty,percentile_rank_household_comp_disability_theme,0.534313372
percent_black,percent_children_in_poverty,0.534082375
percent_children_in_poverty,percent_black,0.534082375
percentile_rank_minorities,percentile_rank_single_parent_households,0.533758371
percentile_rank_single_parent_households,percentile_rank_minorities,0.533758371
percentile_rank_minorities,percent_uninsured,0.533373633
percent_uninsured,percentile_rank_minorities,0.533373633
percentile_rank_household_comp_disability_theme,percent_single_parent_households_CDC,0.532478799
percent_single_parent_households_CDC,percentile_rank_household_comp_disability_theme,0.532478799
percentile_rank_mobile_homes,teen_birth_rate,0.530189335
teen_birth_rate,percentile_rank_mobile_homes,0.530189335
percent_limited_english_abilities,percent_minorities,0.529507308
percent_minorities,percent_limited_english_abilities,0.529507308
percentile_rank_minorities,percent_severe_housing_problems,0.529222533
percent_severe_housing_problems,percentile_rank_minorities,0.529222533
per_capita_income,percent_excessive_drinking,0.529186338
percent_excessive_drinking,per_capita_income,0.529186338
percent_children_in_poverty,percent_physically_inactive,0.529132004
percent_physically_inactive,percent_children_in_poverty,0.529132004
percent_mobile_homes,percent_below_poverty,0.529088259
percent_below_poverty,percent_mobile_homes,0.529088259
percent_physically_inactive,percent_adults_with_obesity,0.529075365
percent_adults_with_obesity,percent_physically_inactive,0.529075365
twentieth_percentile_income,percent_excessive_drinking,0.528907322
percent_excessive_drinking,twentieth_percentile_income,0.528907322
percentile_rank_unemployed,percent_smokers,0.528732243
percent_smokers,percentile_rank_unemployed,0.528732243
percentile_rank_disabled,percentile_rank_no_highschool_diploma,0.528491305
percentile_rank_no_highschool_diploma,percentile_rank_disabled,0.528491305
percent_frequent_physical_distress,percent_physically_inactive,0.528093726
percent_physically_inactive,percent_frequent_physical_distress,0.528093726
percentile_rank_no_highschool_diploma,percent_disabled,0.52791306
percent_disabled,percentile_rank_no_highschool_diploma,0.52791306
percentile_rank_housing_and_transportation,percentile_rank_overcrowding,0.527671148
percentile_rank_overcrowding,percentile_rank_housing_and_transportation,0.527671148
percentile_rank_no_vehicle,percent_fair_or_poor_health,0.52713904
percent_fair_or_poor_health,percentile_rank_no_vehicle,0.52713904
percent_below_poverty,percent_severe_housing_problems,0.527033444
percent_severe_housing_problems,percent_below_poverty,0.527033444
percentile_rank_no_highschool_diploma,percentile_rank_unemployed,0.52571932
percentile_rank_unemployed,percentile_rank_no_highschool_diploma,0.52571932
percentile_rank_household_comp_disability_theme,percent_physically_inactive,0.525613455
percent_physically_inactive,percentile_rank_household_comp_disability_theme,0.525613455
percent_disabled,percent_physically_inactive,0.525328175
percent_physically_inactive,percent_disabled,0.525328175
percent_single_parent_households_CDC,percent_below_poverty,0.52512353
percent_below_poverty,percent_single_parent_households_CDC,0.52512353
percent_minorities,percent_not_proficient_in_english,0.525064974
percent_not_proficient_in_english,percent_minorities,0.525064974
percent_disabled,percent_smokers,0.525003694
percent_smokers,percent_disabled,0.525003694
percent_native_hawaiian_other_pacific_islander,percent_asian,0.524778896
percent_asian,percent_native_hawaiian_other_pacific_islander,0.524778896
percent_no_vehicle,percent_frequent_physical_distress,0.524435115
percent_frequent_physical_distress,percent_no_vehicle,0.524435115
percentile_rank_mobile_homes,percent_below_poverty,0.524371023
percent_below_poverty,percentile_rank_mobile_homes,0.524371023
percent_minorities,percent_uninsured,0.523683317
percent_uninsured,percent_minorities,0.523683317
percentile_rank_social_vulnerability,percent_severe_housing_problems,0.523536137
percent_severe_housing_problems,percentile_rank_social_vulnerability,0.523536137
percent_single_parent_households_CDC,percent_black,0.523229991
percent_black,percent_single_parent_households_CDC,0.523229991
percentile_rank_mobile_homes,percent_enrolled_in_free_or_reduced_lunch,0.522513366
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_mobile_homes,0.522513366
percentile_rank_social_vulnerability,percentile_rank_disabled,0.522212506
percentile_rank_disabled,percentile_rank_social_vulnerability,0.522212506
percentile_rank_no_vehicle,percent_insufficient_sleep,0.522150788
percent_insufficient_sleep,percentile_rank_no_vehicle,0.522150788
percent_single_parent_households_CDC,percent_fair_or_poor_health,0.520411496
percent_fair_or_poor_health,percent_single_parent_households_CDC,0.520411496
percent_no_vehicle,percent_frequent_mental_distress,0.520340071
percent_frequent_mental_distress,percent_no_vehicle,0.520340071
percent_enrolled_in_free_or_reduced_lunch,percent_insufficient_sleep,0.519434837
percent_insufficient_sleep,percent_enrolled_in_free_or_reduced_lunch,0.519434837
percentile_rank_social_vulnerability,percent_black,0.519045261
percent_black,percentile_rank_social_vulnerability,0.519045261
percentile_rank_housing_and_transportation,percent_children_in_poverty,0.517834859
percent_children_in_poverty,percentile_rank_housing_and_transportation,0.517834859
percentile_rank_socioeconomic_theme,percent_no_vehicle,0.517664426
percent_no_vehicle,percentile_rank_socioeconomic_theme,0.517664426
percent_disabled,percent_below_poverty,0.517387052
percent_below_poverty,percent_disabled,0.517387052
life_expectancy,percent_some_college,0.516805976
percent_some_college,life_expectancy,0.516805976
percent_black,percent_enrolled_in_free_or_reduced_lunch,0.516557736
percent_enrolled_in_free_or_reduced_lunch,percent_black,0.516557736
percent_no_vehicle,percent_fair_or_poor_health,0.516421464
percent_fair_or_poor_health,percent_no_vehicle,0.516421464
percent_severe_housing_cost_burden,income_ratio,0.516000994
income_ratio,percent_severe_housing_cost_burden,0.516000994
percent_no_vehicle,percent_insufficient_sleep,0.515658948
percent_insufficient_sleep,percent_no_vehicle,0.515658948
average_traffic_volume_per_meter_of_major_roadways,num_associations,0.51521181
num_associations,average_traffic_volume_per_meter_of_major_roadways,0.51521181
percentile_rank_age_65_and_older,percent_rural,0.515016371
percent_rural,percentile_rank_age_65_and_older,0.515016371
percent_food_insecure,teen_birth_rate,0.513885502
teen_birth_rate,percent_food_insecure,0.513885502
percent_non_hispanic_white,average_grade_performance,0.512282149
average_grade_performance,percent_non_hispanic_white,0.512282149
percentile_rank_disabled,teen_birth_rate,0.5119482
teen_birth_rate,percentile_rank_disabled,0.5119482
percentile_rank_no_highschool_diploma,percent_smokers,0.511730787
percent_smokers,percentile_rank_no_highschool_diploma,0.511730787
percent_disabled,teen_birth_rate,0.511715378
teen_birth_rate,percent_disabled,0.511715378
percentile_rank_no_vehicle,percent_enrolled_in_free_or_reduced_lunch,0.510604552
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_no_vehicle,0.510604552
percent_no_vehicle,percent_smokers,0.510292235
percent_smokers,percent_no_vehicle,0.510292235
percentile_rank_disabled,percent_smokers,0.510168485
percent_smokers,percentile_rank_disabled,0.510168485
percentile_rank_overcrowding,percentile_rank_minority_status_and_language_theme,0.51007623
percentile_rank_minority_status_and_language_theme,percentile_rank_overcrowding,0.51007623
percent_overcrowding,percent_severe_housing_problems,0.508999407
percent_severe_housing_problems,percent_overcrowding,0.508999407
average_traffic_volume_per_meter_of_major_roadways,population_density_per_sqmi,0.508806521
population_density_per_sqmi,average_traffic_volume_per_meter_of_major_roadways,0.508806521
percentile_rank_disabled,percentile_rank_unemployed,0.508501772
percentile_rank_unemployed,percentile_rank_disabled,0.508501772
percent_minorities,percent_no_highschool_diploma,0.50831331
percent_no_highschool_diploma,percent_minorities,0.50831331
percent_asian,eightieth_percentile_income,0.507518166
eightieth_percentile_income,percent_asian,0.507518166
percent_asian,population_density_per_sqmi,0.507382786
population_density_per_sqmi,percent_asian,0.507382786
overcrowding,percent_severe_housing_problems,0.507192055
percent_severe_housing_problems,overcrowding,0.507192055
teen_birth_rate,percent_physically_inactive,0.506094452
percent_physically_inactive,teen_birth_rate,0.506094452
percentile_rank_disabled,percent_below_poverty,0.505368799
percent_below_poverty,percentile_rank_disabled,0.505368799
eightieth_percentile_income,percent_excessive_drinking,0.505188227
percent_excessive_drinking,eightieth_percentile_income,0.505188227
overcrowding,percent_uninsured,0.505102059
percent_uninsured,overcrowding,0.505102059
percent_overcrowding,percent_uninsured,0.504474461
percent_uninsured,percent_overcrowding,0.504474461
percentile_rank_social_vulnerability,percent_disabled,0.503770005
percent_disabled,percentile_rank_social_vulnerability,0.503770005
percentile_rank_no_highschool_diploma,percent_food_insecure,0.503613219
percent_food_insecure,percentile_rank_no_highschool_diploma,0.503613219
percentile_rank_per_capita_income,percent_insufficient_sleep,0.503298139
percent_insufficient_sleep,percentile_rank_per_capita_income,0.503298139
percentile_rank_unemployed,percent_disabled,0.502913449
percent_disabled,percentile_rank_unemployed,0.502913449
num_associations,population_density_per_sqmi,0.501950758
population_density_per_sqmi,num_associations,0.501950758
percentile_rank_no_vehicle,percentile_rank_unemployed,0.501209299
percentile_rank_unemployed,percentile_rank_no_vehicle,0.501209299
percentile_rank_no_highschool_diploma,percent_unemployed_CDC,0.500800503
percent_unemployed_CDC,percentile_rank_no_highschool_diploma,0.500800503
percentile_rank_housing_and_transportation,percent_fair_or_poor_health,0.500684329
percent_fair_or_poor_health,percentile_rank_housing_and_transportation,0.500684329
percentile_rank_social_vulnerability,percent_uninsured,0.500437854
percent_uninsured,percentile_rank_social_vulnerability,0.500437854
percent_limited_english_abilities,percent_uninsured,0.500337344
percent_uninsured,percent_limited_english_abilities,0.500337344
percentile_rank_household_comp_disability_theme,percent_food_insecure,0.498916813
percent_food_insecure,percentile_rank_household_comp_disability_theme,0.498916813
percentile_rank_below_poverty,percent_severe_housing_problems,0.498091501
percent_severe_housing_problems,percentile_rank_below_poverty,0.498091501
percent_multi_unit_housing,percent_some_college,0.498041687
percent_some_college,percent_multi_unit_housing,0.498041687
percentile_rank_housing_and_transportation,income_ratio,0.497476403
income_ratio,percentile_rank_housing_and_transportation,0.497476403
percentile_rank_social_vulnerability,percentile_rank_minority_status_and_language_theme,0.497404801
percentile_rank_minority_status_and_language_theme,percentile_rank_social_vulnerability,0.497404801
percentile_rank_socioeconomic_theme,percent_adults_with_diabetes,0.497224652
percent_adults_with_diabetes,percentile_rank_socioeconomic_theme,0.497224652
percent_no_highschool_diploma,percent_insufficient_sleep,0.49720664
percent_insufficient_sleep,percent_no_highschool_diploma,0.49720664
percent_mobile_homes,teen_birth_rate,0.496508452
teen_birth_rate,percent_mobile_homes,0.496508452
percentile_rank_disabled,percent_adults_with_diabetes,0.496373256
percent_adults_with_diabetes,percentile_rank_disabled,0.496373256
percentile_rank_mobile_homes,percent_physically_inactive,0.496044472
percent_physically_inactive,percentile_rank_mobile_homes,0.496044472
percentile_rank_disabled,percent_food_insecure,0.495999429
percent_food_insecure,percentile_rank_disabled,0.495999429
percentile_rank_minorities,percent_hispanic,0.495470146
percent_hispanic,percentile_rank_minorities,0.495470146
percent_unemployed_CDC,percent_black,0.494364244
percent_black,percent_unemployed_CDC,0.494364244
percentile_rank_disabled,percent_enrolled_in_free_or_reduced_lunch,0.493572351
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_disabled,0.493572351
percentile_rank_overcrowding,percent_uninsured,0.493261404
percent_uninsured,percentile_rank_overcrowding,0.493261404
percent_not_proficient_in_english,percent_uninsured,0.492958828
percent_uninsured,percent_not_proficient_in_english,0.492958828
percentile_rank_single_parent_households,percent_black,0.492125265
percent_black,percentile_rank_single_parent_households,0.492125265
percent_adults_with_diabetes,percent_children_in_poverty,0.491974107
percent_children_in_poverty,percent_adults_with_diabetes,0.491974107
percent_enrolled_in_free_or_reduced_lunch,percent_smokers,0.491478198
percent_smokers,percent_enrolled_in_free_or_reduced_lunch,0.491478198
percent_adults_with_diabetes,percent_adults_with_obesity,0.490307004
percent_adults_with_obesity,percent_adults_with_diabetes,0.490307004
percentile_rank_no_vehicle,percent_unemployed_CDC,0.490059647
percent_unemployed_CDC,percentile_rank_no_vehicle,0.490059647
percent_some_college,percent_excessive_drinking,0.490013026
percent_excessive_drinking,percent_some_college,0.490013026
percent_no_vehicle,percent_enrolled_in_free_or_reduced_lunch,0.489261651
percent_enrolled_in_free_or_reduced_lunch,percent_no_vehicle,0.489261651
percent_disabled,percent_food_insecure,0.489252342
percent_food_insecure,percent_disabled,0.489252342
percent_no_vehicle,percent_unemployed_CDC,0.489241738
percent_unemployed_CDC,percent_no_vehicle,0.489241738
percentile_rank_mobile_homes,percent_rural,0.489023924
percent_rural,percentile_rank_mobile_homes,0.489023924
percent_adults_with_diabetes,percent_frequent_mental_distress,0.488580181
percent_frequent_mental_distress,percent_adults_with_diabetes,0.488580181
percent_no_vehicle,percent_black,0.48850629
percent_black,percent_no_vehicle,0.48850629
num_households_CDC,average_traffic_volume_per_meter_of_major_roadways,0.488007788
average_traffic_volume_per_meter_of_major_roadways,num_households_CDC,0.488007788
percent_black,percent_severe_housing_cost_burden,0.486808904
percent_severe_housing_cost_burden,percent_black,0.486808904
percent_mobile_homes,percent_physically_inactive,0.485663835
percent_physically_inactive,percent_mobile_homes,0.485663835
percent_below_poverty,percent_black,0.484433663
percent_black,percent_below_poverty,0.484433663
percentile_rank_minority_status_and_language_theme,percent_overcrowding,0.48377705
percent_overcrowding,percentile_rank_minority_status_and_language_theme,0.48377705
percent_disabled,percent_adults_with_diabetes,0.483716196
percent_adults_with_diabetes,percent_disabled,0.483716196
percentile_rank_minority_status_and_language_theme,overcrowding,0.483402291
overcrowding,percentile_rank_minority_status_and_language_theme,0.483402291
num_housing_units,average_traffic_volume_per_meter_of_major_roadways,0.482841046
average_traffic_volume_per_meter_of_major_roadways,num_housing_units,0.482841046
percent_food_insecure,percent_physically_inactive,0.482613146
percent_physically_inactive,percent_food_insecure,0.482613146
percent_asian,num_associations,0.482522264
num_associations,percent_asian,0.482522264
percentile_rank_overcrowding,percent_severe_housing_problems,0.48108296
percent_severe_housing_problems,percentile_rank_overcrowding,0.48108296
percent_minorities,percent_children_in_poverty,0.481048917
percent_children_in_poverty,percent_minorities,0.481048917
percentile_rank_below_poverty,percent_single_parent_households_CDC,0.480724726
percent_single_parent_households_CDC,percentile_rank_below_poverty,0.480724726
average_traffic_volume_per_meter_of_major_roadways,labor_force,0.480178394
labor_force,average_traffic_volume_per_meter_of_major_roadways,0.480178394
percent_multi_unit_housing,per_capita_income,0.479672503
per_capita_income,percent_multi_unit_housing,0.479672503
percentile_rank_overcrowding,percent_minorities,0.479599183
percent_minorities,percentile_rank_overcrowding,0.479599183
percent_single_parent_households_CDC,percent_food_insecure,0.479208733
percent_food_insecure,percent_single_parent_households_CDC,0.479208733
percentile_rank_minority_status_and_language_theme,percent_severe_housing_problems,0.479105638
percent_severe_housing_problems,percentile_rank_minority_status_and_language_theme,0.479105638
percent_adults_with_obesity,percent_smokers,0.478950451
percent_smokers,percent_adults_with_obesity,0.478950451
percent_unemployed_CDC,income_ratio,0.478136317
income_ratio,percent_unemployed_CDC,0.478136317
percentile_rank_overcrowding,percentile_rank_minorities,0.477863622
percentile_rank_minorities,percentile_rank_overcrowding,0.477863622
percent_age_65_and_older,percent_rural,0.477469268
percent_rural,percent_age_65_and_older,0.477469268
percentile_rank_housing_and_transportation,percent_frequent_physical_distress,0.477182552
percent_frequent_physical_distress,percentile_rank_housing_and_transportation,0.477182552
percent_rural,percent_65_and_over,0.476951968
percent_65_and_over,percent_rural,0.476951968
percentile_rank_social_vulnerability,percent_overcrowding,0.47679015
percent_overcrowding,percentile_rank_social_vulnerability,0.47679015
percent_65_and_over,percent_homeowners,0.47592659
percent_homeowners,percent_65_and_over,0.47592659
percentile_rank_household_comp_disability_theme,percent_no_highschool_diploma,0.47577184
percent_no_highschool_diploma,percentile_rank_household_comp_disability_theme,0.47577184
percentile_rank_housing_and_transportation,percent_enrolled_in_free_or_reduced_lunch,0.475642283
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_housing_and_transportation,0.475642283
percent_asian,labor_force,0.47542661
labor_force,percent_asian,0.47542661
percent_non_hispanic_white,percent_homeowners,0.475255323
percent_homeowners,percent_non_hispanic_white,0.475255323
percentile_rank_social_vulnerability,overcrowding,0.475017992
overcrowding,percentile_rank_social_vulnerability,0.475017992
percent_age_17_and_younger,overcrowding,0.474595864
overcrowding,percent_age_17_and_younger,0.474595864
percent_disabled,percent_enrolled_in_free_or_reduced_lunch,0.474385139
percent_enrolled_in_free_or_reduced_lunch,percent_disabled,0.474385139
average_traffic_volume_per_meter_of_major_roadways,total_population,0.474369123
total_population,average_traffic_volume_per_meter_of_major_roadways,0.474369123
percent_enrolled_in_free_or_reduced_lunch,income_ratio,0.474086664
income_ratio,percent_enrolled_in_free_or_reduced_lunch,0.474086664
percent_age_65_and_older,percent_homeowners,0.474035419
percent_homeowners,percent_age_65_and_older,0.474035419
percentile_rank_unemployed,percent_black,0.474023849
percent_black,percentile_rank_unemployed,0.474023849
percent_overcrowding,percent_age_17_and_younger,0.473910142
percent_age_17_and_younger,percent_overcrowding,0.473910142
percentile_rank_below_poverty,percent_physically_inactive,0.473451545
percent_physically_inactive,percentile_rank_below_poverty,0.473451545
percent_disabled,percent_no_highschool_diploma,0.473442971
percent_no_highschool_diploma,percent_disabled,0.473442971
percentile_rank_single_parent_households,percent_fair_or_poor_health,0.473096613
percent_fair_or_poor_health,percentile_rank_single_parent_households,0.473096613
percentile_rank_social_vulnerability,percent_physically_inactive,0.472833816
percent_physically_inactive,percentile_rank_social_vulnerability,0.472833816
percentile_rank_age_65_and_older,percent_homeowners,0.472525198
percent_homeowners,percentile_rank_age_65_and_older,0.472525198
percentile_rank_minorities,percent_overcrowding,0.472441782
percent_overcrowding,percentile_rank_minorities,0.472441782
percent_multi_unit_housing,eightieth_percentile_income,0.47177676
eightieth_percentile_income,percent_multi_unit_housing,0.47177676
percentile_rank_housing_and_transportation,percent_minorities,0.471748902
percent_minorities,percentile_rank_housing_and_transportation,0.471748902
percentile_rank_housing_and_transportation,percentile_rank_minorities,0.471401402
percentile_rank_minorities,percentile_rank_housing_and_transportation,0.471401402
percentile_rank_minorities,overcrowding,0.471176889
overcrowding,percentile_rank_minorities,0.471176889
percent_black,percent_fair_or_poor_health,0.471048743
percent_fair_or_poor_health,percent_black,0.471048743
num_households_CDC,population_density_per_sqmi,0.470914124
population_density_per_sqmi,num_households_CDC,0.470914124
percentile_rank_unemployed,percent_no_highschool_diploma,0.47079788
percent_no_highschool_diploma,percentile_rank_unemployed,0.47079788
percent_enrolled_in_free_or_reduced_lunch,percent_uninsured,0.470610103
percent_uninsured,percent_enrolled_in_free_or_reduced_lunch,0.470610103
percent_adults_with_diabetes,percent_frequent_physical_distress,0.469703819
percent_frequent_physical_distress,percent_adults_with_diabetes,0.469703819
percentile_rank_household_comp_disability_theme,percent_smokers,0.469137349
percent_smokers,percentile_rank_household_comp_disability_theme,0.469137349
percentile_rank_housing_and_transportation,percentile_rank_per_capita_income,0.468677118
percentile_rank_per_capita_income,percentile_rank_housing_and_transportation,0.468677118
percentile_rank_no_highschool_diploma,percent_minorities,0.468223313
percent_minorities,percentile_rank_no_highschool_diploma,0.468223313
percent_black,violent_crime_rate,0.467320933
violent_crime_rate,percent_black,0.467320933
percent_overcrowding,percent_no_highschool_diploma,0.46675729
percent_no_highschool_diploma,percent_overcrowding,0.46675729
percentile_rank_unemployed,percent_no_vehicle,0.466601204
percent_no_vehicle,percentile_rank_unemployed,0.466601204
percentile_rank_no_vehicle,percentile_rank_per_capita_income,0.466436653
percentile_rank_per_capita_income,percentile_rank_no_vehicle,0.466436653
num_housing_units,population_density_per_sqmi,0.465304978
population_density_per_sqmi,num_housing_units,0.465304978
percent_no_highschool_diploma,overcrowding,0.465277528
overcrowding,percent_no_highschool_diploma,0.465277528
percentile_rank_single_parent_households,percentile_rank_below_poverty,0.464750253
percentile_rank_below_poverty,percentile_rank_single_parent_households,0.464750253
percent_adults_with_diabetes,percent_fair_or_poor_health,0.464742761
percent_fair_or_poor_health,percent_adults_with_diabetes,0.464742761
percent_minorities,percent_below_poverty,0.464484903
percent_below_poverty,percent_minorities,0.464484903
percent_asian,total_population,0.464246996
total_population,percent_asian,0.464246996
percent_mobile_homes,percent_rural,0.464038294
percent_rural,percent_mobile_homes,0.464038294
percent_black,income_ratio,0.463976177
income_ratio,percent_black,0.463976177
percent_no_highschool_diploma,percent_unemployed_CDC,0.463406857
percent_unemployed_CDC,percent_no_highschool_diploma,0.463406857
percentile_rank_single_parent_households,percent_below_poverty,0.463048143
percent_below_poverty,percentile_rank_single_parent_households,0.463048143
num_households_CDC,percent_asian,0.462595939
percent_asian,num_households_CDC,0.462595939
percent_less_than_18_years_of_age,overcrowding,0.462489526
overcrowding,percent_less_than_18_years_of_age,0.462489526
percentile_rank_unemployed,income_ratio,0.462481298
income_ratio,percentile_rank_unemployed,0.462481298
percentile_rank_socioeconomic_theme,percent_single_parent_households_CDC,0.462373076
percent_single_parent_households_CDC,percentile_rank_socioeconomic_theme,0.462373076
percent_no_highschool_diploma,percent_physically_inactive,0.462205984
percent_physically_inactive,percent_no_highschool_diploma,0.462205984
percent_overcrowding,percent_less_than_18_years_of_age,0.461361223
percent_less_than_18_years_of_age,percent_overcrowding,0.461361223
percentile_rank_multi_unit_housing,num_associations,0.461066247
num_associations,percentile_rank_multi_unit_housing,0.461066247
percentile_rank_limited_english_abilities,percent_minorities,0.460878952
percent_minorities,percentile_rank_limited_english_abilities,0.460878952
percent_asian,average_traffic_volume_per_meter_of_major_roadways,0.46054869
average_traffic_volume_per_meter_of_major_roadways,percent_asian,0.46054869
percentile_rank_multi_unit_housing,per_capita_income,0.460446122
per_capita_income,percentile_rank_multi_unit_housing,0.460446122
percent_mobile_homes,percent_food_insecure,0.45985207
percent_food_insecure,percent_mobile_homes,0.45985207
percentile_rank_minorities,percent_enrolled_in_free_or_reduced_lunch,0.459311203
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_minorities,0.459311203
percent_uninsured,teen_birth_rate,0.459301597
teen_birth_rate,percent_uninsured,0.459301597
percent_disabled,percent_unemployed_CDC,0.45903103
percent_unemployed_CDC,percent_disabled,0.45903103
percentile_rank_housing_and_transportation,percent_severe_housing_cost_burden,0.458904942
percent_severe_housing_cost_burden,percentile_rank_housing_and_transportation,0.458904942
percentile_rank_per_capita_income,percent_adults_with_diabetes,0.458790073
percent_adults_with_diabetes,percentile_rank_per_capita_income,0.458790073
percent_single_parent_households_CDC,percent_enrolled_in_free_or_reduced_lunch,0.458314992
percent_enrolled_in_free_or_reduced_lunch,percent_single_parent_households_CDC,0.458314992
percent_single_parent_households_CDC,percent_children_in_poverty,0.458188613
percent_children_in_poverty,percent_single_parent_households_CDC,0.458188613
percent_limited_english_abilities,percent_no_highschool_diploma,0.457776573
percent_no_highschool_diploma,percent_limited_english_abilities,0.457776573
labor_force,population_density_per_sqmi,0.45611378
population_density_per_sqmi,labor_force,0.45611378
percent_no_highschool_diploma,percent_smokers,0.456087293
percent_smokers,percent_no_highschool_diploma,0.456087293
percentile_rank_minorities,percent_limited_english_abilities,0.455779417
percent_limited_english_abilities,percentile_rank_minorities,0.455779417
percentile_rank_mobile_homes,percent_food_insecure,0.455171282
percent_food_insecure,percentile_rank_mobile_homes,0.455171282
percentile_rank_disabled,percent_no_highschool_diploma,0.454625103
percent_no_highschool_diploma,percentile_rank_disabled,0.454625103
percentile_rank_minorities,percent_not_proficient_in_english,0.454407455
percent_not_proficient_in_english,percentile_rank_minorities,0.454407455
median_household_income,average_grade_performance,0.45394877
average_grade_performance,median_household_income,0.45394877
percent_adults_with_diabetes,percent_smokers,0.453719785
percent_smokers,percent_adults_with_diabetes,0.453719785
